time,open,high,low,close
1546439400,150.99,152.43,150.89,152.25
1546441200,152.24,153.58,151.77,152.95
1546443000,152.99,154.02,152.64,153.77
1546444800,153.8,154.79,153.58,154.24
1546446600,154.25,154.49,153.66,153.69
1546448400,153.7,154.05,153.57,153.97
1546450200,153.97,155.02,153.97,154.88
1546452000,154.88,155.5,154.88,155.34
1546453800,155.35,155.74,155.24,155.72
1546455600,155.7,155.7,154.78,155.25
1546457400,155.27,155.66,154.88,154.88
1546459200,154.86,155.08,154.13,154.33
1546461000,154.31,155.05,153.87,154.89
1546525800,152.62,153.26,151.66,152.01
1546527600,151.98,151.98,150.4,151.32
1546529400,151.31,151.31,150,151.01
1546531200,151.03,152,150.9,151.36
1546533000,151.37,152.74,151.12,152.03
1546534800,152.03,152.27,151.31,151.5
1546536600,151.42,152.03,151.19,151.86
1546538400,151.84,151.84,150.56,150.99
1546540200,150.93,151.37,150.24,150.4
1546542000,150.26,151.29,150.24,151.235
1546543800,151.25,151.51,150.05,150.21
1546545600,150.23,150.37,149.74,150.12
1546547400,150.11,150.75,149.49,149.71
1546612200,152.19,153.4,151.74,153.33
1546614000,153.33,154.75,152.67,154.75
1546615800,154.74,155.21,154.4,155.2
1546617600,155.19,155.74,154.99,155.41
1546619400,155.37,155.9,155.09,155.65
1546621200,155.61,156.24,155.35,156.02
1546623000,156,156.49,155.89,156.29
1546624800,156.29,156.8,156.29,156.72
1546626600,156.76,157,156.2,156.44
1546628400,156.44,156.76,156.06,156.66
1546630200,156.66,156.8,155.87,155.9
1546632000,155.88,156.46,155.705,155.81
1546633800,155.8,156.43,155.7,156.39
1546871400,156.54,157.06,156.12,156.62
1546873200,156.63,156.98,156.21,156.85
1546875000,156.86,157.57,156.86,157.44
1546876800,157.43,157.62,157.1,157.21
1546878600,157.24,158.48,157.13,158.45
1546880400,158.45,158.58,158.1,158.48
1546882200,158.49,158.69,158.33,158.565
1546884000,158.57,158.85,158.48,158.62
1546885800,158.61,158.72,158.08,158.18
1546887600,158.17,158.41,157.93,157.96
1546889400,157.95,158.11,157.55,157.65
1546891200,157.63,158.47,157.62,158.35
1546893000,158.37,158.41,157.93,157.99
1546957800,159.56,160.1,158.87,159.01
1546959600,159.01,159.39,158.21,158.47
1546961400,158.46,158.63,157.21,157.6
1546963200,157.61,158.48,157.54,158.1
1546965000,158.11,158.54,157.73,158.48
1546966800,158.48,159.11,158.41,158.94
1546968600,158.94,159.05,158.26,158.53
1546970400,158.54,159.07,158.33,158.96
1546972200,158.98,159.51,158.67,159.37
1546974000,159.35,159.61,159.15,159.27
1546975800,159.28,159.67,159.2,159.4
1546977600,159.37,159.63,159.07,159.6
1546979400,159.63,159.73,159.35,159.56
1547044200,160.18,160.75,159.69,160.6
1547046000,160.6,160.77,160.07,160.6
1547047800,160.57,160.59,159.48,160.03
1547049600,160.04,160.75,159.93,160.64
1547051400,160.67,161.1,160.345,160.83
1547053200,160.85,161.05,160.69,160.97
1547055000,160.97,161.24,160.91,161.2
1547056800,161.21,161.27,160.94,161.13
1547058600,161.2,161.2,160.79,160.97
1547060400,160.96,161.52,160.25,160.53
1547062200,160.52,161.21,160.28,160.99
1547064000,161.01,161.31,160.93,161.11
1547065800,161.1,161.16,160.36,160.79
1547130600,159.59,159.69,158.71,158.97
1547132400,158.98,160.13,158.94,160.07
