time,open,high,low,close
1744032600,489.19,489.25,487.9,488.26
1744032660,488.29,489.07,487.48,488.76
1744032720,488.88,489.15,486.66,487.07
1744032780,487.06,488.13,486.93,487.77
1744032840,487.64,488.07,486.39,487.59
1744032900,487.65,487.82,486.05,486.44
1744032960,486.46,486.67,485.5,485.53
1744033020,485.54,486.21,485.2,485.82
1744033080,485.84,486.075,483.77,483.93
1744033140,483.89,486.01,483.78,485.88
1744033200,485.87,486.47,484,484.57
1744033260,484.56,485.44,484.2,484.235
1744033320,484.2,484.24,482.5,482.6
1744033380,482.56,483.16,481.92,482.93
1744033440,482.93,484,481.8,483.88
1744033500,483.86,484.15,482.51,483.5
1744033560,483.45,486.19,483.21,485.9
1744033620,485.86,487.55,485.72,487.5
1744033680,487.53,488.5,486.67,488.11
1744033740,488.17,488.77,487.65,487.79
1744033800,487.81,489.28,487.38,489.01
1744033860,489,490.21,488.96,489.06
1744033920,489.06,491.69,488.89,491.2
1744033980,491.21,491.86,490.33,491.64
1744034040,491.69,492.36,491.61,492.2
1744034100,492.27,492.94,491.2,491.74
1744034160,491.73,493.6,491.67,493.34
1744034220,493.27,494.42,493.14,494.15
1744034280,494.18,495.48,493.61,495.39
1744034340,495.43,496.42,495.08,495.71
1744034400,495.66,497.44,495.1,496.99
1744034460,497.01,497.3,494.53,495.29
1744034520,495.26,495.3,493.69,493.96
1744034580,494,495.18,493.36,494.06
1744034640,494.08,495.97,493.82,494.82
1744034700,494.81,496.5,494.58,495.97
1744034760,495.94,497,495.71,495.95
1744034820,495.93,496.01,494.14,494.18
1744034880,494.18,495.43,493.86,495.02
1744034940,494.96,495.42,494.15,494.585
1744035000,494.53,502.42,494.43,502.42
1744035060,502.38,509.35,502.37,508.4
1744035120,508.33,510.86,505.4,510.62
1744035180,510.64,517.33,509.98,517.21
1744035240,517.23,517.42,512.07,513.78
1744035300,513.86,518.92,513.33,516.39
1744035360,516.42,521.37,515.55,521.23
1744035420,521.23,523.12,520.69,522.99
1744035480,523.03,523.08,515.56,515.56
1744035540,515.62,516.43,513.55,514.51
1744035600,514.5,514.62,509.62,509.69
1744035660,509.67,511.79,509.54,509.63
1744035720,509.62,509.89,505.05,505.42
1744035780,505.52,506,501.09,501.79
1744035840,501.7,503.19,499,499.83
1744035900,499.85,502.7,499.42,501.43
1744035960,501.5,505.14,501.22,503.71
1744036020,503.7,503.86,501.88,502.24
1744036080,502.2,502.49,498.64,498.73
1744036140,498.61,499.47,497.47,498.3
1744036200,498.25,499.68,496.81,498.48
1744036260,498.43,501.48,498.1,501.07
1744036320,501.1,503.36,500.51,503.04
1744036380,503.02,505.93,502.13,503.52
1744036440,503.6,504.16,498.76,498.79
1744036500,498.94,500.01,497.11,497.25
1744036560,497.24,498.34,495.32,496.68
1744036620,496.66,497.66,495.45,495.45
1744036680,495.45,496.4,493.87,494.16
1744036740,494.3,495.26,493.8,494.06
1744036800,494.07,496.2,493.79,495.35
1744036860,495.39,496,493.67,494.61
1744036920,494.52,497.46,494.43,496.87
1744036980,496.83,498.52,495.96,498.16
1744037040,498.18,500.56,497.48,500.07
1744037100,500.1,501.89,498.92,501.86
1744037160,501.86,501.93,499.15,499.62
1744037220,499.36,499.8,497.42,498.9
1744037280,498.94,500.48,498.42,500.05
1744037340,500.02,501.04,499.92,500.78
1744037400,500.8,504.45,500.3,504.25
1744037460,504.28,504.6,502.42,504.43
1744037520,504.39,504.7,502.76,503.09
1744037580,503.14,505.68,502.95,505.28
1744037640,505.25,508.78,505.14,508.11
1744037700,508.05,508.26,506.52,507.49
1744037760,507.43,507.82,504.701,505.5
1744037820,505.48,506.62,505.32,505.7
1744037880,505.64,506.38,505.19,505.59
1744037940,505.64,507.08,505.11,505.8
1744038000,505.87,506.7,504.48,506.11
1744038060,506.21,508.28,506.11,508.13
