time,open,high,low,close
1546439400,27.67,27.72,26.67,26.89
1546441200,26.85,27.04,26.16,26.38
1546443000,26.47,26.66,25.82,25.92
1546444800,25.91,26.01,25.26,25.5
1546446600,25.49,25.57,25.05,25.33
1546448400,25.39,25.41,25.17,25.22
1546450200,25.23,25.26,24.34,24.36
1546452000,24.34,24.37,24.01,24.05
1546453800,24.1,24.28,23.87,23.87
1546455600,23.86,24.49,23.86,24.2
1546457400,24.14,24.23,23.92,24.23
1546459200,24.24,24.33,23.91,24.13
1546461000,24.08,24.32,23.17,23.17
1546462800,23.13,23.24,23.05,23.22
1546525800,24.67,24.95,24.38,24.72
1546527600,24.69,26.05,24.69,25.49
1546529400,25.52,26.57,25.52,25.92
1546531200,25.88,25.88,25.14,25.39
1546533000,25.42,25.46,24.05,24.63
1546534800,24.65,25.02,24.48,24.89
1546536600,24.92,25.15,24.51,24.53
1546538400,24.55,25.32,24.55,24.69
1546540200,24.64,25,24.31,24.93
1546542000,25,25.04,24.33,24.33
1546543800,24.4,25.18,24.24,25.07
1546545600,25.09,25.66,25.07,25.36
1546547400,25.33,25.46,24.89,25.36
1546549200,25.12,25.45,24.98,25.45
1546612200,23.72,24.08,22.88,22.9
1546614000,22.83,23.48,22.61,22.72
1546615800,22.71,23.02,22.39,22.39
1546617600,22.38,22.72,22.3,22.66
1546619400,22.67,22.84,22.32,22.42
1546621200,22.43,22.63,22.24,22.42
1546623000,22.41,22.49,22.15,22.34
1546624800,22.31,22.45,22.22,22.28
1546626600,22.23,22.57,22.17,22.51
1546628400,22.5,22.63,22.16,22.21
1546630200,22.2,22.27,21.85,22.2
1546632000,22.22,22.22,21.78,22
1546633800,22.02,22.02,21.26,21.27
1546635600,21.35,21.39,21.19,21.38
1546871400,22.11,22.27,21.79,22.05
1546873200,21.92,22.11,21.74,21.89
1546875000,21.91,21.91,21.54,21.56
1546876800,21.6,21.6,21.27,21.37
1546878600,21.4,21.49,21.13,21.17
1546880400,21.16,21.28,21.12,21.16
1546882200,21.15,21.31,21.1,21.15
1546884000,21.14,21.14,20.94,21.07
1546885800,21.04,21.34,20.96,21.32
1546887600,21.31,21.47,21.12,21.23
1546889400,21.28,21.54,21.23,21.48
1546891200,21.47,21.48,20.94,20.97
1546893000,20.96,21.19,20.91,21.19
1546894800,21.21,21.4,21.14,21.4
1546957800,20.66,21.15,20.48,21.06
1546959600,21.07,21.64,20.87,21.41
1546961400,21.34,22.03,21.34,21.75
1546963200,21.77,21.77,21.32,21.45
1546965000,21.46,21.71,21.13,21.14
1546966800,21.13,21.14,20.64,20.69
1546968600,20.68,21.13,20.68,20.8
1546970400,20.78,20.79,20.48,20.5
1546972200,20.49,20.72,20.35,20.45
1546974000,20.51,20.63,20.39,20.57
1546975800,20.59,20.61,20.3,20.41
1546977600,20.45,20.61,20.29,20.29
1546979400,20.26,20.47,20.09,20.28
1546981200,20.22,20.47,20.22,20.47
1547044200,20.13,22.8,19.94,19.99
1547046000,19.93,20.31,19.89,20.18
1547047800,20.2,20.81,20.2,20.41
1547049600,20.37,20.41,20.06,20.14
1547051400,20.15,20.25,19.81,19.99
1547053200,19.98,20.14,19.98,20.07
1547055000,20.08,20.1,19.77,19.79
1547056800,19.78,20.04,19.78,19.91
1547058600,19.92,20.19,19.91,20.01
1547060400,20,20.36,19.76,20.2
1547062200,20.18,20.22,19.54,19.71
1547064000,19.73,19.73,19.48,19.54
1547065800,19.55,20.06,19.49,19.82
1547067600,19.8,19.98,19.8,19.98
